"Squadra","Alternativa","Tradizionale","Somma","Gol Fatti","Gol Subiti"
"Napoli","31.5","31.0","62.5",288,72
"Inter","31.5","29.0","60.5",198,72
"Juve","29.8","28.0","57.8",297,90
"Lazio","29.5","28.0","57.5",279,108
"Roma","32.2","24.0","56.2",153,45
"Sampdoria","23.9","20.0","43.9",198,117
"Fiorentina","25.2","16.0","41.2",171,117
"Atalanta","25.5","15.0","40.5",162,135
"Bologna","25.4","14.0","39.4",81,108
"Chievo","22.7","15.0","37.7",126,171
"Milan","21.1","16.0","37.1",144,144
"Torino","19.9","16.0","35.9",144,162
"Udinese","23.3","12.0","35.3",162,198
"Sassuolo","20.8","8.0","28.8",54,171
"Crotone","17.5","9.0","26.5",72,189
"Genoa","19.0","6.0","25.0",90,153
"Cagliari","15.8","9.0","24.8",81,180
"Spal","15.8","8.0","23.8",81,171
"Hellas","14.0","6.0","20.0",63,216
"Benevento","9.7","0.0","9.7",36,261